method p l int.effect mode strategy n power test
matern_1.5 1 0.5 0.7 loocv average 100 0.01 asym
matern_1.5 1 1 0.7 loocv average 100 0.41 asym
matern_1.5 1 1.5 0.7 loocv average 100 0.8 asym
matern_1.5 1 0.5 0.8 loocv exp 100 0.01 asym
matern_1.5 1 1 0.8 loocv exp 100 0.385 asym
matern_1.5 1 1.5 0.8 loocv exp 100 0.765 asym
matern_1.5 1 0.5 0.8 loocv average 100 0.005 asym
matern_1.5 1 1 0.8 loocv average 100 0.42 asym
matern_1.5 1 1.5 0.8 loocv average 100 0.8 asym
matern_1.5 1 0.5 0.9 loocv exp 100 0 asym
matern_1.5 1 1 0.9 loocv exp 100 0.415 asym
matern_1.5 1 1.5 0.9 loocv exp 100 0.8 asym
matern_1.5 1 0.5 0.9 loocv average 100 0.005 asym
matern_1.5 1 1 0.9 loocv average 100 0.475 asym
matern_1.5 1 1.5 0.9 loocv average 100 0.805 asym
matern_1.5 1 0.5 1 loocv exp 100 0 asym
matern_1.5 1 1 1 loocv exp 100 0.355 asym
matern_1.5 1 1.5 1 loocv exp 100 0.78 asym
matern_1.5 1 0.5 1 loocv average 100 0 asym
matern_1.5 1 1 1 loocv average 100 0.345 asym
matern_1.5 1 1.5 1 loocv average 100 0.79 asym
matern_2.5 2 0.5 0 loocv exp 100 0.05 asym
matern_2.5 2 1 0 loocv exp 100 0.01 asym
matern_2.5 2 1.5 0 loocv exp 100 0 asym
matern_2.5 2 0.5 0 loocv average 100 0.05 asym
matern_2.5 2 1 0 loocv average 100 0.015 asym
matern_2.5 2 1.5 0 loocv average 100 0.02 asym
matern_2.5 2 0.5 0.1 loocv exp 100 0.03 asym
matern_2.5 2 1 0.1 loocv exp 100 0.3 asym
matern_2.5 2 1.5 0.1 loocv exp 100 0.51 asym
matern_2.5 2 0.5 0.1 loocv average 100 0.035 asym
matern_2.5 2 1 0.1 loocv average 100 0.295 asym
matern_2.5 2 1.5 0.1 loocv average 100 0.48 asym
matern_2.5 2 0.5 0.2 loocv exp 100 0.04 asym
matern_2.5 2 1 0.2 loocv exp 100 0.46 asym
matern_2.5 2 1.5 0.2 loocv exp 100 0.795 asym
matern_2.5 2 0.5 0.2 loocv average 100 0.05 asym
matern_2.5 2 1 0.2 loocv average 100 0.55 asym
matern_2.5 2 1.5 0.2 loocv average 100 0.78 asym
matern_2.5 2 0.5 0.3 loocv exp 100 0.025 asym
